CURSO_ESCO	GRADO	CURSO	ESPECIALID	ASIGNATURA	NOTA_EXAME	NOTA_EXAME	
2013	E	2	Pe	Pe	8		
2013	E	2	Pe	Pe	7		
2013	E	2	Pe	Pe	10		
2013	E	2	Pi	CCPI	ANU	ANU	
2013	E	2	Pi	CCPI			
2013	E	2	Pi	CCPI	6		
2013	E	2	Pi	CCPI	7		
2013	E	2	Pi	CCPI	7		
2013	E	2	Pi	CCPI	7		
2013	E	2	Pi	CCPI	9		
2013	E	2	Pi	CCPI			
2013	E	2	Pi	CCPI			
2013	E	2	Pi	Lm	ANU	ANU	
2013	E	2	Pi	Lm	CV		
2013	E	2	Pi	Pi	ANU	ANU	
2013	E	2	Pi	Pi	5		
2013	E	2	Pi	Pi	NP		
2013	E	2	Pi	Pi	6		
2013	E	2	Pi	Pi	5		
2013	E	2	Pi	Pi	8		
2013	E	2	Pi	Pi	8		
2013	E	2	Pi	Pi	9		
2013	E	2	Pi	Pi	8		
2013	E	2	Tb	CCTN	6		
2013	E	2	Tb	CCTN	7		
2013	E	2	Tb	Tb	10		
2013	E	2	Tb	Tb	5		
2013	E	2	Tb	Tb	7		
2013	E	2	Tp	Lm	CV		
2013	E	2	Tp	Tp	8		
2013	E	2	Tr	Tr	4		
2013	E	2	Tr	Tr	8		
2013	E	2	Tr	Tr	6		
2013	E	2	Va	CCVA			
2013	E	2	Va	CCVA	ANU	ANU	
2013	E	2	Va	CCVA			
2013	E	2	Va	CCVA			
2013	E	2	Va	Va	9		
2013	E	2	Va	Va	ANU	ANU	
2013	E	2	Va	Va	7		
2013	E	2	Va	Va	8		
2013	E	2	Vi	CCVN			
2013	E	2	Vi	CCVN			
2013	E	2	Vi	CCVN			
2013	E	2	Vi	CCVN			
2013	E	2	Vi	CCVN			
2013	E	2	Vi	CCVN			
2013	E	2	Vi	CCVN			
2013	E	2	Vi	CCVN			
2013	E	2	Vi	Vi	7		
2013	E	2	Vi	Vi	8		
2013	E	2	Vi	Vi	9		
2013	E	2	Vi	Vi	8		
2013	E	2	Vi	Vi	9		
2013	E	2	Vi	Vi	7		
2013	E	2	Vi	Vi	7		
2013	E	2	Vi	Vi	9		
2013	E	2	Vc	CCVC			
2013	E	2	Vc	CCVC			
2013	E	2	Vc	CCVC			
2013	E	2	Vc	Lm	CV		
2013	E	2	Vc	Vc	8		
2013	E	2	Vc	Vc	7		
2013	E	2	Vc	Vc	9		
2013	E	3	Cb	Cb	6		
2013	E	3	Fg	Fg	8		
2013	E	3	Ft	CCFL			
2013	E	3	Ft	CCFL			
2013	E	3	Ft	CCFL			
2013	E	3	Ft	CCFL			
2013	E	3	Ft	CCFL			
2013	E	3	Ft	CCFL			
2013	E	3	Ft	CCFL			
2013	E	3	Ft	CCFL			
2013	E	3	Ft	Co	7		
2013	E	3	Ft	Ft	4		
2013	E	3	Ft	Ft	6		
2013	E	3	Ft	Ft	8		
2013	E	3	Ft	Ft	NP		
2013	E	3	Ft	Ft	5		
2013	E	3	Ft	Ft	9		
2013	E	3	Ft	Ft	9		
2013	E	3	Ft	Ft	9		
2013	E	3	Ft	Lm	8		
2013	E	3	Gi	CCGU			
2013	E	3	Gi	CCGU			
2013	E	3	Gi	Gi	5		
2013	E	3	Gi	Gi	6		
2013	E	3	Ob	CCOB			
